content,nFixations,FFD,TRT,GPT,GD,nFixations_avg,FFD_avg,TRT_avg,GPT_avg,GD_avg
flirts,2,84,197,908,84,1.9166666666666667,105.83333333333333,217.08333333333334,242.33333333333334,137.41666666666666
player,2,146,251,146,146,[],[],[],[],[]
"masochism,",3,103,298,403,179,3.1666666666666665,140.5,427.6666666666667,444.75,303.1666666666667
point,[],[],[],[],[],[],[],[],[],[]
real,[],[],[],[],[],[],[],[],[],[]
interest,3,114,305,190,190,[],[],[],[],[]
audience,2,160,227,227,227,[],[],[],[],[]
sadism,1,149,149,491,149,[],[],[],[],[]
evaded,1,123,123,123,123,[],[],[],[],[]
completely.,4,114,637,760,189,2.3333333333333335,116.83333333333333,291.0,710.4166666666666,188.66666666666666
Could,[],[],[],[],[],[],[],[],[],[]
Country,2,69,139,156,69,[],[],[],[],[]
Bears,3,65,272,334,65,2.0,94.16666666666667,212.25,216.33333333333334,108.33333333333333
really,1,64,64,228,64,[],[],[],[],[]
trailers?,2,64,375,649,64,1.9166666666666667,132.08333333333334,280.8333333333333,823.5,152.41666666666666
At,[],[],[],[],[],[],[],[],[],[]
"times,",1,113,113,113,113,[],[],[],[],[]
looks,2,104,209,209,209,[],[],[],[],[]
genuinely,3,118,488,183,183,[],[],[],[],[]
pretty.,2,64,116,1109,64,[],[],[],[],[]
depends,4,110,536,536,536,[],[],[],[],[]
how,1,98,98,98,98,[],[],[],[],[]
flatulence,4,92,347,189,189,3.0,144.25,400.75,286.1666666666667,224.83333333333334
gags,2,104,217,375,104,[],[],[],[],[]
fit,1,51,51,51,51,[],[],[],[],[]
holiday,1,148,148,148,148,[],[],[],[],[]
concept.,1,77,77,225,77,[],[],[],[],[]
"stupidest,",2,69,165,165,165,[],[],[],[],[]
insulting,1,50,50,321,50,2.25,123.66666666666667,296.1666666666667,304.0,129.16666666666666
2002's,2,57,138,204,57,2.25,112.75,278.9166666666667,236.16666666666666,162.91666666666666
first,2,110,304,508,110,[],[],[],[],[]
quarter.,[],[],[],[],[],[],[],[],[],[]
seems,[],[],[],[],[],[],[],[],[],[]
dead,1,81,81,177,81,2.4166666666666665,110.83333333333333,292.75,464.9166666666667,136.58333333333334
weight.,1,170,170,170,170,[],[],[],[],[]
"Sparkling,",1,107,107,107,107,2.25,108.16666666666667,237.0,141.75,141.75
hilarious,2,150,231,150,150,[],[],[],[],[]
romantic,5,59,460,59,59,[],[],[],[],[]
jealousy,1,147,147,147,147,[],[],[],[],[]
comedy...,2,76,152,508,76,[],[],[],[],[]
Attal,1,183,183,183,183,[],[],[],[],[]
young,1,78,78,78,78,[],[],[],[],[]
Robert,[],[],[],[],[],[],[],[],[],[]
DeNiro,1,70,70,70,70,[],[],[],[],[]
instead,[],[],[],[],[],[],[],[],[],[]
called,[],[],[],[],[],[],[],[],[],[]
`My,[],[],[],[],[],[],[],[],[],[]
Husband,1,87,87,87,87,[],[],[],[],[]
Is,[],[],[],[],[],[],[],[],[],[]
Travis,1,101,101,227,101,1.3333333333333333,120.83333333333333,152.08333333333334,210.0,126.75
Bickle'.,[],[],[],[],[],[],[],[],[],[]
go,1,92,92,92,92,[],[],[],[],[]
back,1,81,81,173,81,[],[],[],[],[]
check,2,120,226,120,120,1.5833333333333333,95.66666666666667,154.0,127.83333333333333,108.08333333333333
out,1,84,84,190,84,[],[],[],[],[]
last,1,90,90,90,90,[],[],[],[],[]
"minutes,",4,101,494,185,185,[],[],[],[],[]
repulsive,1,103,103,103,103,[],[],[],[],[]
30,[],[],[],[],[],[],[],[],[],[]
40,2,84,158,1111,84,[],[],[],[],[]
minutes.,[],[],[],[],[],[],[],[],[],[]
lousy,1,114,114,114,114,[],[],[],[],[]
merely,1,136,136,136,136,[],[],[],[],[]
"unwatchable,",1,51,51,51,51,[],[],[],[],[]
also,[],[],[],[],[],[],[],[],[],[]
unlistenable.,1,172,172,172,172,2.3333333333333335,115.08333333333333,300.1666666666667,541.0,284.0
One,[],[],[],[],[],[],[],[],[],[]
best,[],[],[],[],[],[],[],[],[],[]
films,2,96,182,96,96,[],[],[],[],[]
year,[],[],[],[],[],[],[],[],[],[]
exploration,2,139,224,424,139,2.5833333333333335,116.08333333333333,316.5,259.0833333333333,156.08333333333334
obstacles,1,116,116,116,116,2.5833333333333335,105.5,285.5,248.66666666666666,185.41666666666666
happiness,1,121,121,121,121,[],[],[],[],[]
faced,2,68,146,68,68,1.5833333333333333,145.08333333333334,209.0,278.5,164.91666666666666
five,[],[],[],[],[],[],[],[],[],[]
contemporary,2,64,117,117,117,2.0869565217391304,121.08695652173913,239.2608695652174,218.08695652173913,197.69565217391303
individuals...,2,65,170,170,170,1.5833333333333333,113.0,184.58333333333334,167.58333333333334,167.58333333333334
psychological,2,99,191,99,99,2.4,118.45714285714286,305.14285714285717,278.51428571428573,180.31428571428572
masterpiece.,2,81,235,327,81,[],[],[],[],[]
strong,2,129,229,129,129,[],[],[],[],[]
"script,",3,60,278,267,60,[],[],[],[],[]
powerful,2,99,223,463,99,[],[],[],[],[]
direction,1,208,208,208,208,[],[],[],[],[]
splendid,2,94,197,94,94,2.0434782608695654,138.43478260869566,252.69565217391303,192.82608695652175,164.7391304347826
design,1,98,98,98,98,[],[],[],[],[]
allows,3,68,347,445,269,[],[],[],[],[]
transported,1,113,113,113,113,[],[],[],[],[]
life,[],[],[],[],[],[],[],[],[],[]
Wladyslaw,1,160,160,160,160,3.0,109.75,414.0,253.08333333333334,253.08333333333334
"Szpilman,",[],[],[],[],[],[],[],[],[],[]
"pianist,",1,111,111,111,111,[],[],[],[],[]
being.,[],[],[],[],[],[],[],[],[],[]
here's,1,193,193,193,193,1.5,123.5,172.0,162.83333333333334,140.33333333333334
damn:,4,62,385,483,62,2.5833333333333335,124.25,320.75,253.91666666666666,131.16666666666666
isn't,5,145,674,575,145,[],[],[],[],[]
"funny,",1,95,95,240,95,[],[],[],[],[]
either.,2,144,237,786,144,[],[],[],[],[]
Qutting,5,100,714,100,100,3.0833333333333335,122.66666666666667,452.6666666666667,153.5,153.5
may,3,65,209,165,65,[],[],[],[],[]
flawed,3,129,319,129,129,[],[],[],[],[]
"film,",2,69,119,69,69,[],[],[],[],[]
nothing,6,81,667,1622,81,[],[],[],[],[]
sincere.,1,95,95,966,95,1.8333333333333333,144.0,244.08333333333334,941.9166666666666,199.08333333333334
fanboy,3,120,297,180,180,3.9166666666666665,104.91666666666667,470.1666666666667,278.25,150.33333333333334
`what,3,67,382,512,67,2.4166666666666665,120.83333333333333,322.1666666666667,423.25,152.83333333333334
if?',2,150,258,517,258,[],[],[],[],[]
something,1,92,92,92,92,[],[],[],[],[]
appears,1,85,85,85,85,1.3333333333333333,126.875,167.08333333333334,161.25,126.875
lost,1,67,67,67,67,[],[],[],[],[]
translation,3,92,248,147,147,[],[],[],[],[]
time.,3,83,286,826,151,[],[],[],[],[]
Like,[],[],[],[],[],[],[],[],[],[]
documentary,3,115,283,414,204,[],[],[],[],[]
Fight,1,91,91,204,91,[],[],[],[],[]
"Club,",1,76,76,76,76,[],[],[],[],[]
shorn,2,147,219,147,147,[],[],[],[],[]
social,2,102,286,358,102,[],[],[],[],[]
"insight,",1,153,153,153,153,1.8333333333333333,113.75,277.0833333333333,223.08333333333334,223.08333333333334
intellectual,3,77,338,372,77,2.3333333333333335,123.83333333333333,307.0,283.5833333333333,138.83333333333334
pretension,2,82,147,266,82,[],[],[],[],[]
cinematic,2,134,355,134,134,[],[],[],[],[]
interest.,1,169,169,390,169,[],[],[],[],[]
Stephen,2,90,151,151,151,1.8333333333333333,94.33333333333333,214.75,129.5,129.5
"Rea,",1,75,75,226,75,[],[],[],[],[]
Aidan,1,82,82,82,82,[],[],[],[],[]
"Quinn,",[],[],[],[],[],[],[],[],[],[]
Alan,[],[],[],[],[],[],[],[],[],[]
Bates,1,110,110,110,110,[],[],[],[],[]
Desmond's,1,159,159,159,159,1.9166666666666667,127.08333333333333,212.83333333333334,189.41666666666666,189.41666666666666
legal,[],[],[],[],[],[],[],[],[],[]
"eagles,",1,167,167,167,167,[],[],[],[],[]
when,2,82,165,82,82,[],[],[],[],[]
joined,2,73,168,251,73,[],[],[],[],[]
"Brosnan,",1,116,116,116,116,1.8333333333333333,132.5,212.83333333333334,338.75,163.25
sight,1,89,89,89,89,[],[],[],[],[]
grandiloquent,5,66,515,163,163,3.4166666666666665,99.33333333333333,432.5833333333333,360.9166666666667,360.9166666666667
quartet,3,109,331,683,109,1.75,149.0,251.25,291.8333333333333,197.08333333333334
lolling,1,133,133,133,133,[],[],[],[],[]
pretty,4,75,370,243,75,[],[],[],[],[]
Irish,1,78,78,78,78,[],[],[],[],[]
settings,1,100,100,289,100,1.4166666666666667,115.5,163.66666666666666,179.25,138.91666666666666
pleasant,1,66,66,66,66,[],[],[],[],[]
enough,2,96,230,162,96,[],[],[],[],[]
"thing,",1,82,82,216,82,[],[],[],[],[]
`tis.,2,81,298,658,298,[],[],[],[],[]
"movie,",3,139,377,863,139,[],[],[],[],[]
guaranteed,2,116,235,326,116,[],[],[],[],[]
put,1,98,98,98,98,[],[],[],[],[]
lump,[],[],[],[],[],[],[],[],[],[]
throat,2,62,143,265,62,[],[],[],[],[]
reaffirming,3,84,280,280,280,2.3333333333333335,116.33333333333333,279.25,225.5,213.25
Washington,[],[],[],[],[],[],[],[],[],[]
possibly,1,53,53,53,53,1.25,109.58333333333333,136.0,168.75,125.83333333333333
actor,1,68,68,132,68,[],[],[],[],[]
working,1,115,115,115,115,1.8333333333333333,129.33333333333334,210.33333333333334,252.58333333333334,172.25
today.,[],[],[],[],[],[],[],[],[],[]
An,[],[],[],[],[],[],[],[],[],[]
intriguing,1,109,109,109,109,1.6666666666666667,108.0,186.16666666666666,148.41666666666666,131.16666666666666
entertaining,3,75,222,75,75,2.5833333333333335,106.91666666666667,330.5833333333333,225.16666666666666,171.5
introduction,3,122,377,386,122,3.1739130434782608,128.7391304347826,402.82608695652175,305.3478260869565,199.56521739130434
Johnson.,2,97,476,614,97,1.5833333333333333,138.0,228.91666666666666,674.0833333333334,174.83333333333334
Everything,2,136,402,136,136,[],[],[],[],[]
was,1,84,84,350,84,[],[],[],[],[]
superficial,4,63,412,645,63,2.75,103.75,325.1666666666667,242.91666666666666,139.41666666666666
forced,4,89,374,351,89,[],[],[],[],[]
New,3,94,270,534,94,[],[],[],[],[]
Jersey,[],[],[],[],[],[],[],[],[],[]
lowbrow,1,152,152,152,152,[],[],[],[],[]
accent,2,70,265,417,70,1.8333333333333333,154.33333333333334,250.58333333333334,287.8333333333333,161.66666666666666
Uma,[],[],[],[],[],[],[],[],[],[]
had.,2,179,252,767,252,[],[],[],[],[]
Despite,1,71,71,71,71,[],[],[],[],[]
holes,2,99,189,99,99,[],[],[],[],[]
somewhat,9,143,1113,1433,143,[],[],[],[],[]
predictable,2,128,358,358,358,2.0,107.08333333333333,233.75,199.75,148.08333333333334
"plot,",[],[],[],[],[],[],[],[],[],[]
moments,6,73,636,348,348,2.2,122.22857142857143,267.62857142857143,261.9428571428571,153.45714285714286
caused,1,143,143,143,143,[],[],[],[],[]
me,[],[],[],[],[],[],[],[],[],[]
jump,[],[],[],[],[],[],[],[],[],[]
my,[],[],[],[],[],[],[],[],[],[]
chair...,1,66,66,581,66,1.1666666666666667,118.25,132.41666666666666,830.1666666666666,132.41666666666666
`How,[],[],[],[],[],[],[],[],[],[]
voyages,4,128,632,128,128,2.1666666666666665,114.16666666666667,278.5,137.75,121.66666666666667
can,3,106,385,106,106,[],[],[],[],[]
limping,6,101,491,101,101,2.4166666666666665,120.0,252.58333333333334,163.25,163.25
dearly-loved,4,87,350,167,167,2.9166666666666665,123.91666666666667,340.8333333333333,372.9166666666667,228.5
franchise,3,151,323,235,235,[],[],[],[],[]
survive?',4,120,377,1949,222,[],[],[],[],[]
multi-million,3,69,260,737,69,3.0833333333333335,109.75,347.5833333333333,256.3333333333333,131.83333333333334
dollar,2,68,205,158,68,2.25,108.41666666666667,264.6666666666667,230.91666666666666,114.91666666666667
con,2,102,189,260,102,[],[],[],[],[]
bothered,4,95,494,718,95,2.5833333333333335,144.08333333333334,346.6666666666667,503.9166666666667,183.08333333333334
include,3,87,291,87,87,2.0,143.91666666666666,278.8333333333333,319.0,203.25
con.,1,67,67,902,67,[],[],[],[],[]
supremely,5,82,471,354,354,2.8333333333333335,129.0,343.5,245.08333333333334,233.5
unfunny,2,104,186,104,104,2.0416666666666665,130.33333333333334,251.5,231.70833333333334,137.20833333333334
unentertaining,9,179,1163,1033,587,3.5,136.16666666666666,490.8333333333333,383.0,322.6666666666667
watch,4,110,362,239,239,[],[],[],[],[]
middle-age,2,118,244,850,118,[],[],[],[],[]
older,1,138,138,138,138,[],[],[],[],[]
men,[],[],[],[],[],[],[],[],[],[]
drink,1,130,130,130,130,[],[],[],[],[]
"excess,",2,91,146,146,146,1.1666666666666667,126.83333333333333,144.5,131.41666666666666,131.41666666666666
piss,[],[],[],[],[],[],[],[],[],[]
"trees,",1,108,108,108,108,[],[],[],[],[]
b.s.,1,106,106,106,106,[],[],[],[],[]
another,1,62,62,298,62,[],[],[],[],[]
show,2,78,149,78,78,[],[],[],[],[]
drag.,2,82,411,642,82,[],[],[],[],[]
Only,[],[],[],[],[],[],[],[],[],[]
elapse,3,289,527,421,421,2.1666666666666665,122.33333333333333,270.3333333333333,200.25,148.91666666666666
before,1,172,172,172,172,[],[],[],[],[]
daddy,6,116,668,116,116,[],[],[],[],[]
slashers,3,150,313,865,150,2.3333333333333335,122.25,264.25,248.83333333333334,168.91666666666666
"arrives,",1,143,143,405,143,[],[],[],[],[]
boiler,1,99,99,99,99,1.6666666666666667,113.58333333333333,193.08333333333334,169.83333333333334,133.58333333333334
suit,1,75,75,75,75,[],[],[],[],[]
white,[],[],[],[],[],[],[],[],[],[]
"mask,",2,111,205,205,205,[],[],[],[],[]
which,1,87,87,87,87,[],[],[],[],[]
remarkably,2,64,185,185,185,2.5,77.16666666666667,246.5,229.58333333333334,149.0
clean,1,66,66,66,66,[],[],[],[],[]
guy,[],[],[],[],[],[],[],[],[],[]
mass-murdering,2,151,206,294,206,2.4166666666666665,120.25,252.25,262.5833333333333,198.16666666666666
1978,2,82,207,207,207,[],[],[],[],[]
seen,2,85,174,85,85,[],[],[],[],[]
doing,1,107,107,538,107,[],[],[],[],[]
laundry.,1,105,105,1150,105,[],[],[],[],[]
Showtime,2,189,290,189,189,[],[],[],[],[]
hapless,2,110,208,110,110,2.0,107.25,229.16666666666666,249.75,130.75
victims,3,90,281,164,164,2.1666666666666665,118.58333333333333,297.1666666666667,217.58333333333334,170.5
arrogant,2,115,216,832,115,[],[],[],[],[]
``if,1,75,75,75,75,[],[],[],[],[]
we,[],[],[],[],[],[],[],[],[],[]
together,2,68,193,303,68,1.826086956521739,109.30434782608695,199.95652173913044,205.17391304347825,136.34782608695653
wry,2,180,260,260,260,[],[],[],[],[]
chatty,1,103,103,103,103,[],[],[],[],[]
black,1,136,136,136,136,[],[],[],[],[]
give,1,132,132,132,132,[],[],[],[],[]
"guns,",2,116,184,259,116,[],[],[],[],[]
funny'',2,83,311,684,83,[],[],[],[],[]
syndrome.,[],[],[],[],[],[],[],[],[],[]
Whatever,2,99,201,99,99,[],[],[],[],[]
heartwarming,4,63,374,215,63,3.0833333333333335,133.33333333333334,390.5,297.5833333333333,187.25
scene,4,77,406,77,77,[],[],[],[],[]
impressively,7,114,844,1168,357,[],[],[],[],[]
discreet,3,135,327,925,135,[],[],[],[],[]
filmmakers,2,67,164,164,164,[],[],[],[],[]
expected,2,94,241,94,94,[],[],[],[],[]
record,2,105,257,105,105,[],[],[],[],[]
their,1,116,116,116,116,[],[],[],[],[]
mini,2,112,221,489,112,[],[],[],[],[]
"DV,",1,124,124,124,124,[],[],[],[],[]
remarkable,5,60,494,315,60,2.2916666666666665,112.625,245.45833333333334,281.5833333333333,144.41666666666666
document,1,168,168,168,168,[],[],[],[],[]
both,1,83,83,83,83,[],[],[],[],[]
sides,2,138,214,138,138,[],[],[],[],[]
emotional,1,161,161,161,161,1.8297872340425532,130.04255319148936,226.68085106382978,359.2340425531915,165.31914893617022
car-wreck.,4,72,345,1029,72,[],[],[],[],[]
zombie,1,82,82,82,82,[],[],[],[],[]
sense,[],[],[],[],[],[],[],[],[],[]
word,[],[],[],[],[],[],[],[],[],[]
"mindless,",1,87,87,87,87,1.5,116.75,170.33333333333334,170.33333333333334,170.33333333333334
"lifeless,",1,223,223,223,223,1.25,126.91666666666667,157.83333333333334,157.83333333333334,157.83333333333334
"meandering,",3,75,389,612,213,2.0833333333333335,126.66666666666667,253.66666666666666,309.3333333333333,161.75
"loud,",1,85,85,85,85,[],[],[],[],[]
"painful,",2,146,336,146,146,[],[],[],[],[]
obnoxious.,1,96,96,286,96,[],[],[],[],[]
quirks,5,146,501,146,146,[],[],[],[],[]
family,5,71,646,1034,260,[],[],[],[],[]
"life,",2,56,122,56,56,[],[],[],[],[]
treats,[],[],[],[],[],[],[],[],[],[]
subject,4,79,391,79,79,[],[],[],[],[]
fondness,2,150,227,150,150,1.5833333333333333,138.75,234.41666666666666,450.5,173.75
respect.,1,136,136,2013,136,[],[],[],[],[]
Novak,[],[],[],[],[],[],[],[],[],[]
manages,2,158,305,305,305,[],[],[],[],[]
capture,1,104,104,104,104,1.75,126.08333333333333,219.58333333333334,166.95833333333334,142.95833333333334
cruelly,1,143,143,143,143,2.0833333333333335,149.16666666666666,278.9166666666667,186.25,176.83333333333334
vein,1,83,83,83,83,[],[],[],[],[]
comedy,1,86,86,86,86,[],[],[],[],[]
situation,3,136,389,311,136,[],[],[],[],[]
his,4,100,430,100,100,[],[],[],[],[]
cast,3,67,271,353,67,[],[],[],[],[]
non-actors,3,171,359,261,261,2.1666666666666665,118.16666666666667,236.25,255.25,168.41666666666666
"gritty,",1,102,102,102,102,[],[],[],[],[]
no-budget,4,86,401,206,206,[],[],[],[],[]
approach.,2,112,260,1057,112,[],[],[],[],[]
Since,1,112,112,112,112,[],[],[],[],[]
Lee,4,90,497,192,192,2.1666666666666665,92.41666666666667,252.83333333333334,207.0,112.33333333333333
"sentimentalist,",6,108,608,715,108,4.0,118.58333333333333,515.25,346.75,259.25
worshipful,3,87,282,87,87,2.8333333333333335,132.25,340.0833333333333,227.16666666666666,191.66666666666666
random,2,72,159,605,72,2.75,103.66666666666667,324.5833333333333,455.6666666666667,132.33333333333334
E!,1,96,96,831,96,[],[],[],[],[]
completely,1,91,91,91,91,[],[],[],[],[]
lacking,2,123,204,204,204,[],[],[],[],[]
"suspense,",1,104,104,104,104,2.25,144.25,284.6666666666667,278.3333333333333,226.25
surprise,1,116,116,116,116,[],[],[],[],[]
consistent,2,108,239,108,108,2.125,121.58333333333333,265.375,320.0,170.04166666666666
conviction.,2,72,336,467,72,[],[],[],[],[]
High,1,81,81,81,81,[],[],[],[],[]
Crimes,2,115,207,115,115,2.5,112.58333333333333,279.5,193.25,135.08333333333334
knows,2,109,217,201,109,[],[],[],[],[]
mistakes,2,115,195,115,115,2.5,118.75,262.8333333333333,163.25,135.5
determined,2,72,152,152,152,1.8333333333333333,107.91666666666667,183.66666666666666,224.75,132.58333333333334
"them,",[],[],[],[],[],[],[],[],[],[]
maybe,2,114,297,114,114,1.5833333333333333,107.91666666666667,174.66666666666666,245.0,112.33333333333333
nobility,1,72,72,72,72,1.8333333333333333,132.75,240.33333333333334,447.75,154.58333333333334
sort.,1,100,100,283,100,[],[],[],[],[]
too,1,55,55,130,55,[],[],[],[],[]
long,2,78,135,78,78,[],[],[],[],[]
convoluted,1,112,112,112,112,2.0,118.41666666666667,240.25,210.58333333333334,158.08333333333334
ends,1,72,72,72,72,1.4583333333333333,110.75,163.83333333333334,143.54166666666666,115.70833333333333
muddle.,1,77,77,470,77,[],[],[],[],[]
thing,2,98,256,256,256,[],[],[],[],[]
works,2,126,248,126,126,[],[],[],[],[]
level,4,120,509,120,120,[],[],[],[],[]
whatsoever,5,110,604,1451,314,2.6666666666666665,112.0,292.4166666666667,466.0833333333333,152.75
me.,[],[],[],[],[],[],[],[],[],[]
bland,1,88,88,88,88,[],[],[],[],[]
murder-on-campus,9,92,1003,746,746,6.666666666666667,114.33333333333333,796.4166666666666,587.75,443.6666666666667
yawner.,2,54,157,414,157,1.4166666666666667,124.91666666666667,158.0,465.5833333333333,144.16666666666666
In,[],[],[],[],[],[],[],[],[],[]
comparison,1,55,55,55,55,1.8333333333333333,120.25,236.83333333333334,155.91666666666666,155.91666666666666
earlier,1,90,90,90,90,[],[],[],[],[]
disappointingly,2,128,265,128,128,2.5,112.91666666666667,272.5833333333333,146.58333333333334,146.58333333333334
thin,2,61,164,301,61,[],[],[],[],[]
slice,1,104,104,405,104,[],[],[],[],[]
lower-class,2,96,233,96,96,[],[],[],[],[]
London,2,156,301,156,156,[],[],[],[],[]
life;,1,72,72,72,72,[],[],[],[],[]
despite,3,60,292,222,222,[],[],[],[],[]
title...,[],[],[],[],[],[],[],[],[],[]
surprisingly,2,87,209,999,87,[],[],[],[],[]
little.,[],[],[],[],[],[],[],[],[],[]
"finest,",2,56,122,241,56,1.75,107.83333333333333,218.75,169.33333333333334,134.16666666666666
humane,1,107,107,107,107,2.25,98.75,234.08333333333334,168.75,120.75
important,2,89,169,169,169,[],[],[],[],[]
Holocaust,1,55,55,55,55,[],[],[],[],[]
made.,1,140,140,140,140,[],[],[],[],[]
Suffers,2,109,191,191,191,[],[],[],[],[]
"rambling,",2,170,255,170,170,[],[],[],[],[]
repetitive,5,150,523,150,150,[],[],[],[],[]
dialogue,3,154,394,701,154,1.7428571428571429,132.77142857142857,229.17142857142858,239.11428571428573,186.28571428571428
visual,1,62,62,62,62,[],[],[],[],[]
drabness,2,108,177,108,108,2.3333333333333335,119.0,276.4166666666667,212.0,212.0
endemic,3,63,339,516,63,2.4166666666666665,164.08333333333334,352.5,310.0,208.33333333333334
digital,1,253,253,665,253,[],[],[],[],[]
video.,[],[],[],[],[],[],[],[],[],[]
twist,1,140,140,140,140,[],[],[],[],[]
"resonance,",2,71,181,298,71,1.75,127.5,230.75,308.25,157.66666666666666
twists,3,68,251,721,68,[],[],[],[],[]
getting,3,114,302,114,114,[],[],[],[],[]
"irritating,",2,100,174,458,100,[],[],[],[],[]
kind,1,78,78,248,78,[],[],[],[],[]
material,1,120,120,120,120,[],[],[],[],[]
where,1,83,83,83,83,[],[],[],[],[]
careful,1,141,141,141,141,[],[],[],[],[]
raising,2,202,424,511,202,[],[],[],[],[]
eyebrows.,[],[],[],[],[],[],[],[],[],[]
Angel,1,143,143,143,143,[],[],[],[],[]
presents,8,110,1318,1103,110,3.0,124.0,435.3333333333333,323.0833333333333,217.66666666666666
events,3,101,386,598,101,[],[],[],[],[]
partly,3,85,293,293,293,2.25,142.0,303.0,347.9166666666667,189.58333333333334
perspective,2,107,259,259,259,[],[],[],[],[]
Aurelie,2,87,188,188,188,[],[],[],[],[]
"Christelle,",2,113,293,293,293,[],[],[],[],[]
infuses,3,55,374,372,55,[],[],[],[],[]
sensibility,5,86,543,1073,180,1.75,115.16666666666667,189.16666666666666,242.91666666666666,158.91666666666666
particularly,1,104,104,104,104,[],[],[],[],[]
nightmarish,3,67,461,309,67,2.3333333333333335,137.58333333333334,297.3333333333333,231.41666666666666,176.08333333333334
fairytale.,1,128,128,384,128,[],[],[],[],[]
Features,1,113,113,113,113,[],[],[],[],[]
affecting,3,89,332,173,173,[],[],[],[],[]
depictions,2,140,198,198,198,2.8333333333333335,157.83333333333334,403.0,306.9166666666667,223.66666666666666
affair,[],[],[],[],[],[],[],[],[],[]
committed,5,76,473,527,76,2.75,113.08333333333333,289.75,579.9166666666666,157.91666666666666
intensely,7,68,726,448,448,[],[],[],[],[]
personal,3,64,272,297,64,[],[],[],[],[]
yet,3,78,340,78,78,[],[],[],[],[]
unlike,1,50,50,50,50,[],[],[],[],[]
Quills,1,148,148,198,148,[],[],[],[],[]
deftly,1,110,110,110,110,[],[],[],[],[]
shows,[],[],[],[],[],[],[],[],[],[]
temper,2,60,139,237,60,2.0,107.58333333333333,219.58333333333334,286.5,155.16666666666666
times.,2,81,156,671,156,[],[],[],[],[]
Even,1,101,101,101,101,[],[],[],[],[]
valiantly,4,69,455,421,69,2.6666666666666665,117.83333333333333,350.75,264.3333333333333,209.33333333333334
struggled,1,97,97,97,97,1.9166666666666667,111.33333333333333,235.5,207.41666666666666,166.08333333333334
remain,1,85,85,85,85,[],[],[],[],[]
"interested,",1,109,109,109,109,1.5,117.0,168.16666666666666,160.75,160.75
least,[],[],[],[],[],[],[],[],[],[]
"conscious,",1,149,149,149,149,2.3333333333333335,95.16666666666667,231.25,204.25,170.91666666666666
feel,1,156,156,156,156,[],[],[],[],[]
eyelids...,1,121,121,121,121,[],[],[],[],[]
getting...,1,82,82,82,82,1.25,151.16666666666666,176.41666666666666,168.33333333333334,168.33333333333334
very...,1,61,61,61,61,[],[],[],[],[]
heavy...,1,79,79,303,79,[],[],[],[],[]
"solid,",1,66,66,66,66,[],[],[],[],[]
well-formed,4,72,557,328,175,4.5,112.5,620.5,485.1666666666667,340.8333333333333
satire.,1,122,122,417,122,[],[],[],[],[]
Deserves,1,78,78,78,78,1.75,118.41666666666667,243.08333333333334,140.41666666666666,140.41666666666666
high,1,66,66,144,66,[],[],[],[],[]
marks,2,75,137,75,75,[],[],[],[],[]
political,1,131,131,131,131,[],[],[],[],[]
courage,2,99,200,332,99,1.5,129.33333333333334,187.83333333333334,217.33333333333334,170.91666666666666
barely,1,76,76,76,76,1.8,114.28571428571429,202.88571428571427,194.2,125.31428571428572
gets,3,109,259,109,109,[],[],[],[],[]
artistic,3,73,230,144,144,[],[],[],[],[]
merits.,2,90,231,575,90,[],[],[],[],[]
Read,[],[],[],[],[],[],[],[],[],[]
Lips,3,78,311,316,78,[],[],[],[],[]
viewed,1,82,82,136,82,[],[],[],[],[]
treasured,1,152,152,152,152,1.8333333333333333,114.66666666666667,198.33333333333334,193.5,153.5
extraordinary,4,77,447,386,161,[],[],[],[],[]
intelligence,3,131,388,389,131,[],[],[],[],[]
originality,2,252,361,252,252,[],[],[],[],[]
lyrical,1,117,117,117,117,[],[],[],[],[]
variations,1,86,86,86,86,[],[],[],[],[]
game,1,214,214,360,214,[],[],[],[],[]
love.,[],[],[],[],[],[],[],[],[],[]
creates,[],[],[],[],[],[],[],[],[],[]
characters',9,115,944,1323,115,3.1666666666666665,123.75,367.0833333333333,402.1666666666667,191.5
lives,4,91,435,91,91,[],[],[],[],[]
emotions,3,70,229,1298,70,[],[],[],[],[]
carries,2,128,224,224,224,[],[],[],[],[]
above...,1,109,109,237,109,[],[],[],[],[]
what,1,71,71,71,71,[],[],[],[],[]
"melodramatic,",1,105,105,105,105,2.4166666666666665,122.41666666666667,291.8333333333333,357.3333333333333,195.0
Lifetime,1,89,89,89,89,[],[],[],[],[]
Channel-style,2,95,156,95,95,3.3333333333333335,151.33333333333334,455.5,368.5833333333333,305.0
anthology.,1,163,163,488,163,[],[],[],[],[]
Reeks,[],[],[],[],[],[],[],[],[],[]
rot,2,156,228,303,156,[],[],[],[],[]
hack,2,81,132,81,81,[],[],[],[],[]
start,1,134,134,280,134,[],[],[],[],[]
finish.,[],[],[],[],[],[],[],[],[],[]
Just,[],[],[],[],[],[],[],[],[],[]
families,1,83,83,83,83,2.0833333333333335,103.58333333333333,279.4166666666667,182.91666666666666,110.08333333333333
interact,2,83,205,205,205,1.6666666666666667,117.16666666666667,198.75,200.58333333333334,141.41666666666666
you.,[],[],[],[],[],[],[],[],[],[]
happens,3,99,362,217,217,2.25,96.91666666666667,243.0,188.0,133.0
blow,[],[],[],[],[],[],[],[],[],[]
small,1,68,68,68,68,[],[],[],[],[]
